x	y	category	mutation_count
63	156	1	8939
63	157	1	5192
63	160	1	6418
63	164	1	8304
63	172	1	7685
63	178	1	8554
63	186	1	6449
64	25	1	9037
64	40	1	6370
64	42	1	5426
64	43	1	7696
64	44	1	5305
64	49	1	4725
64	50	1	7747
64	51	1	7968
64	58	1	6559
64	59	1	5360
64	60	1	6933
64	61	1	7350
64	62	1	5914
64	64	1	7594
64	68	1	6083
64	69	1	8481
64	70	1	7540
64	71	1	4558
64	74	1	4317
64	75	1	4628
64	77	1	6417
64	78	1	5386
64	79	1	8377
64	85	1	8677
64	88	1	6784
64	89	1	6322
64	90	1	6730
64	92	1	10074
64	93	1	7184
64	94	1	4651
64	98	1	4887
64	102	1	7596
64	104	1	5913
64	108	1	6508
64	109	1	5995
64	110	1	3346
64	112	1	7296
64	113	1	5900
64	114	1	7996
64	115	1	7981
64	118	1	6413
64	120	1	8312
64	122	1	4393
64	123	1	7685
64	124	1	4931
64	125	1	7792
64	126	1	3704
64	129	1	6646
64	132	1	6121
64	142	1	6449
64	146	1	5012
64	147	1	7993
64	149	1	7330
64	153	1	5600
64	154	1	6674
64	155	1	6789
64	156	1	5313
64	159	1	6442
64	160	1	5512
64	161	1	6399
64	164	1	7804
64	168	1	6318
64	174	1	5031
